animation_id,effector_index,frame_id,knot_index
anim_1,1,frame_7,0
anim_1,1,frame_8,1
anim_1,1,frame_9,2
anim_1,1,frame_10,3
anim_1,1,frame_11,4
anim_1,1,frame_12,5
anim_1,1,frame_13,6
anim_1,1,frame_14,7
anim_1,1,frame_15,8
anim_1,1,frame_16,9
anim_1,2,frame_7,0
anim_1,2,frame_8,1
anim_1,2,frame_9,2
anim_1,2,frame_10,3
anim_1,2,frame_11,4
anim_1,2,frame_12,5
anim_1,2,frame_13,6
anim_1,2,frame_14,7
anim_1,2,frame_15,8
anim_1,2,frame_16,9
anim_1,3,frame_8,0
anim_1,3,frame_9,1
anim_1,3,frame_10,2
anim_1,3,frame_11,3
anim_1,3,frame_12,4
anim_1,3,frame_13,5
anim_1,3,frame_14,6
anim_1,3,frame_15,7
anim_1,3,frame_16,8
