asset,stage,operator,post,data_filepath,schema_filepath,preview_filepath,gen_code_filepath,gen_test_code_filepath,task_id
motion,proposal,generator,test,,,,,,motion_proposal_generator_test
motion,proposal,generator,sensor,,,,,,motion_proposal_generator_sensor
motion,proposal,generator,none,,,,,,motion_proposal_generator
motion,proposal,validator,none,,,,,,motion_proposal_validator
motion,manifest,generator,test,,,,,,motion_manifest_generator_test
motion,manifest,generator,sensor,,,,,,motion_manifest_generator_sensor
motion,manifest,generator,none,,,,,,motion_manifest_generator
motion,manifest,validator,none,,,,,,motion_manifest_validator
motion,preview,generator,test,,,,,,motion_preview_generator_test
motion,preview,generator,sensor,,,,,,motion_preview_generator_sensor
motion,preview,generator,none,,,,,,motion_preview_generator
motion,preview,validator,none,,,,,,motion_preview_validator
animation,proposal,generator,test,,,,,,animation_proposal_generator_test
animation,proposal,generator,sensor,,,,,,animation_proposal_generator_sensor
animation,proposal,generator,none,,,,,,animation_proposal_generator
animation,proposal,validator,none,,,,,,animation_proposal_validator
animation,manifest,generator,test,,,,,,animation_manifest_generator_test
animation,manifest,generator,sensor,,,,,,animation_manifest_generator_sensor
animation,manifest,generator,none,,,,,,animation_manifest_generator
animation,manifest,validator,none,,,,,,animation_manifest_validator
animation,preview,generator,test,,,,,,animation_preview_generator_test
animation,preview,generator,sensor,,,,,,animation_preview_generator_sensor
animation,preview,generator,none,,,,,,animation_preview_generator
animation,preview,validator,none,,,,,,animation_preview_validator
